Date,Close,Open,High,Low
24.02.2022,45.05,45.05,45.05,45.05
23.02.2022,44.05,44.05,44.05,44.05
22.02.2022,44.00,44.00,44.00,44.00
18.02.2022,44.05,44.05,44.05,44.05
17.02.2022,44.05,44.05,44.05,44.05
16.02.2022,44.05,44.05,44.05,44.05
15.02.2022,44.05,44.05,44.05,44.05
14.02.2022,44.00,44.00,44.00,44.00
11.02.2022,43.95,43.95,43.95,43.95
10.02.2022,43.60,43.60,43.60,43.60
09.02.2022,43.30,43.30,43.30,43.30
08.02.2022,43.55,43.55,43.55,43.55
07.02.2022,43.90,43.90,43.90,43.90
04.02.2022,43.95,43.95,43.95,43.95
03.02.2022,44.00,44.00,44.00,44.00
02.02.2022,43.80,43.80,43.80,43.80
01.02.2022,43.90,43.90,43.90,43.90
31.01.2022,44.00,44.00,44.00,44.00
28.01.2022,44.85,44.85,44.85,44.85
27.01.2022,45.05,45.05,45.05,45.05
26.01.2022,45.05,45.05,45.05,45.05
25.01.2022,45.05,45.05,45.05,45.05
24.01.2022,45.05,45.05,45.05,45.05
27.09.2021,43.05,43.05,43.05,43.05
24.09.2021,44.30,44.30,44.30,44.30
23.09.2021,48.05,48.05,48.05,48.05
22.09.2021,49.40,49.40,49.40,49.40
21.09.2021,49.75,45.00,45.00,45.00
20.09.2021,49.90,47.75,47.75,47.75
17.09.2021,50.80,47.75,47.75,47.75
16.09.2021,49.65,47.75,47.75,47.75
15.09.2021,48.55,48.55,48.55,48.55
14.09.2021,44.90,44.90,44.90,44.90
13.09.2021,44.15,44.15,44.15,44.15
10.09.2021,42.40,42.40,42.40,42.40
09.09.2021,40.40,40.40,40.40,40.40
08.09.2021,40.25,40.25,40.25,40.25
07.09.2021,40.05,40.05,40.05,40.05
03.09.2021,38.70,38.70,38.70,38.70
02.09.2021,37.20,37.20,37.20,37.20
01.09.2021,35.65,35.65,35.65,35.65
31.08.2021,34.60,34.60,34.60,34.60
30.08.2021,33.70,33.70,33.70,33.70
27.08.2021,33.60,33.60,33.60,33.60
26.08.2021,33.45,33.45,33.45,33.45
25.08.2021,33.45,33.45,33.45,33.45
24.08.2021,33.45,33.45,33.45,33.45
23.08.2021,33.30,33.30,33.30,33.30
20.08.2021,32.55,32.55,32.55,32.55
19.08.2021,32.15,32.15,32.15,32.15
18.08.2021,30.95,30.95,30.95,30.95
17.08.2021,30.45,30.45,30.45,30.45
16.08.2021,30.35,30.35,30.35,30.35
13.08.2021,30.65,30.65,30.65,30.65
12.08.2021,31.10,31.10,31.10,31.10
11.08.2021,31.70,31.70,31.70,31.70
10.08.2021,31.70,31.70,31.70,31.70
09.08.2021,31.70,31.70,31.70,31.70
06.08.2021,32.10,32.10,32.10,32.10
05.08.2021,32.10,32.10,32.10,32.10
04.08.2021,32.25,32.25,32.25,32.25
03.08.2021,32.30,32.30,32.30,32.30
02.08.2021,32.30,32.30,32.30,32.30
30.07.2021,32.40,32.40,32.40,32.40
29.07.2021,32.55,32.55,32.55,32.55
28.07.2021,32.55,32.55,32.55,32.55
27.07.2021,32.55,32.55,32.55,32.55
26.07.2021,32.55,32.55,32.55,32.55
23.07.2021,32.55,32.55,32.55,32.55
22.07.2021,32.55,32.55,32.55,32.55
21.07.2021,32.55,32.55,32.55,32.55
20.07.2021,32.40,32.40,32.40,32.40
19.07.2021,32.35,32.35,32.35,32.35
16.07.2021,32.50,32.50,32.50,32.50
15.07.2021,32.55,32.55,32.55,32.55
14.07.2021,32.55,32.55,32.55,32.55
13.07.2021,32.55,32.55,32.55,32.55
12.07.2021,32.55,32.55,32.55,32.55
09.07.2021,32.60,32.60,32.60,32.60
08.07.2021,32.70,32.70,32.70,32.70
07.07.2021,32.70,32.70,32.70,32.70
06.07.2021,32.80,32.80,32.80,32.80
02.07.2021,32.80,32.80,32.80,32.80
01.07.2021,32.55,32.55,32.55,32.55
30.06.2021,32.45,32.45,32.45,32.45
29.06.2021,32.40,32.40,32.40,32.40
28.06.2021,32.25,32.25,32.25,32.25
25.06.2021,32.40,32.40,32.40,32.40
24.06.2021,32.60,32.60,32.60,32.60
23.06.2021,32.55,32.55,32.55,32.55
22.06.2021,32.55,32.55,32.55,32.55
21.06.2021,32.60,32.60,32.60,32.60
18.06.2021,32.40,32.40,32.40,32.40
17.06.2021,32.40,32.40,32.40,32.40
16.06.2021,32.35,32.35,32.35,32.35
15.06.2021,32.35,32.35,32.35,32.35
14.06.2021,32.50,32.50,32.50,32.50
11.06.2021,32.70,32.70,32.70,32.70
10.06.2021,32.35,32.35,32.35,32.35
09.06.2021,32.30,32.30,32.30,32.30
08.06.2021,32.20,32.20,32.20,32.20
07.06.2021,32.35,32.35,32.35,32.35
04.06.2021,31.75,31.75,31.75,31.75
03.06.2021,31.75,31.75,31.75,31.75
02.06.2021,31.55,31.55,31.55,31.55
01.06.2021,31.50,31.50,31.50,31.50
28.05.2021,31.50,31.50,31.50,31.50
27.05.2021,31.35,31.35,31.35,31.35
26.05.2021,31.30,31.30,31.30,31.30
25.05.2021,31.20,31.20,31.20,31.20
24.05.2021,31.20,31.20,31.20,31.20
21.05.2021,31.25,31.25,31.25,31.25
20.05.2021,31.25,31.25,31.25,31.25
19.05.2021,31.10,31.10,31.10,31.10
18.05.2021,31.10,31.50,31.50,31.50
17.05.2021,31.05,31.05,31.05,31.05
14.05.2021,31.10,31.10,31.10,31.10
13.05.2021,31.10,31.10,31.10,31.10
12.05.2021,31.10,31.10,31.10,31.10
11.05.2021,31.10,31.10,31.10,31.10
10.05.2021,30.85,30.85,30.85,30.85
07.05.2021,30.70,30.70,30.70,30.70
06.05.2021,30.75,30.75,30.75,30.75
05.05.2021,30.75,30.75,30.75,30.75
04.05.2021,30.95,30.95,30.95,30.95
03.05.2021,29.40,29.40,29.40,29.40
30.04.2021,29.35,29.35,29.35,29.35
29.04.2021,29.25,29.25,29.25,29.25
28.04.2021,29.15,29.15,29.15,29.15
27.04.2021,29.15,29.15,29.15,29.15
26.04.2021,29.00,29.00,29.00,29.00
23.04.2021,28.85,28.85,28.85,28.85
22.04.2021,29.05,29.05,29.05,29.05
21.04.2021,29.25,29.25,29.25,29.25
20.04.2021,29.35,29.35,29.35,29.35
19.04.2021,29.55,29.55,29.55,29.55
16.04.2021,29.65,29.65,29.65,29.65
15.04.2021,29.80,29.80,29.80,29.80
14.04.2021,30.05,30.05,30.05,30.05
13.04.2021,29.95,29.95,29.95,29.95
12.04.2021,30.20,30.20,30.20,30.20
09.04.2021,30.70,30.70,30.70,30.70
08.04.2021,30.85,30.85,30.85,30.85
07.04.2021,31.10,31.10,31.10,31.10
06.04.2021,31.15,31.15,31.15,31.15
05.04.2021,31.30,31.30,31.30,31.30
01.04.2021,31.30,31.30,31.30,31.30
31.03.2021,31.35,31.35,31.35,31.35
30.03.2021,31.25,31.25,31.25,31.25
29.03.2021,30.85,30.85,30.85,30.85
26.03.2021,30.50,30.50,30.50,30.50
25.03.2021,30.10,30.10,30.10,30.10
24.03.2021,30.05,30.05,30.05,30.05
23.03.2021,30.05,30.05,30.05,30.05
22.03.2021,30.05,30.05,30.05,30.05
19.03.2021,29.90,29.90,29.90,29.90
18.03.2021,29.95,29.95,29.95,29.95
17.03.2021,30.05,30.05,30.05,30.05
16.03.2021,29.35,29.35,29.35,29.35
15.03.2021,27.75,27.75,27.75,27.75
12.03.2021,27.70,27.70,27.70,27.70
11.03.2021,27.70,27.70,27.70,27.70
10.03.2021,27.70,27.70,27.70,27.70
09.03.2021,27.70,27.70,27.70,27.70
08.03.2021,27.85,27.85,27.85,27.85
05.03.2021,27.75,27.75,27.75,27.75
04.03.2021,27.75,27.75,27.75,27.75
03.03.2021,27.75,27.75,27.75,27.75
02.03.2021,28.00,28.00,28.00,28.00
01.03.2021,28.15,28.15,28.15,28.15
26.02.2021,28.45,28.45,28.45,28.45
25.02.2021,28.60,28.60,28.60,28.60
24.02.2021,28.75,28.75,28.75,28.75
23.02.2021,28.75,28.75,28.75,28.75
22.02.2021,29.15,29.15,29.15,29.15
19.02.2021,29.20,29.20,29.20,29.20
18.02.2021,29.10,29.10,29.10,29.10
17.02.2021,29.70,29.70,29.70,29.70
16.02.2021,29.75,29.75,29.75,29.75
12.02.2021,29.85,29.85,29.85,29.85
11.02.2021,29.90,29.90,29.90,29.90
10.02.2021,29.90,29.90,29.90,29.90
09.02.2021,29.90,29.90,29.90,29.90
08.02.2021,29.85,29.85,29.85,29.85
05.02.2021,29.85,29.85,29.85,29.85
04.02.2021,29.90,29.90,29.90,29.90
03.02.2021,30.05,30.05,30.05,30.05
02.02.2021,30.00,30.00,30.00,30.00
01.02.2021,30.15,30.15,30.15,30.15
29.01.2021,30.10,30.10,30.10,30.10
28.01.2021,30.10,30.10,30.10,30.10
27.01.2021,30.25,30.25,30.25,30.25
26.01.2021,30.40,30.40,30.40,30.40
25.01.2021,30.35,30.35,30.35,30.35
22.01.2021,30.35,30.35,30.35,30.35
21.01.2021,30.40,30.40,30.40,30.40
20.01.2021,30.45,30.45,30.45,30.45
19.01.2021,30.45,30.45,30.45,30.45
15.01.2021,30.45,30.45,30.45,30.45
14.01.2021,30.60,30.60,30.60,30.60
13.01.2021,30.60,30.60,30.60,30.60
12.01.2021,30.60,30.60,30.60,30.60
11.01.2021,30.60,30.60,30.60,30.60
08.01.2021,30.60,30.60,30.60,30.60
07.01.2021,30.65,30.65,30.65,30.65
06.01.2021,30.65,30.65,30.65,30.65
05.01.2021,30.65,30.65,30.65,30.65
04.01.2021,30.85,30.85,30.85,30.85
31.12.2020,30.70,30.70,30.70,30.70
30.12.2020,30.70,30.70,30.70,30.70
29.12.2020,30.70,30.70,30.70,30.70
28.12.2020,30.00,30.00,30.00,30.00
24.12.2020,30.35,30.35,30.35,30.35
23.12.2020,30.35,30.35,30.35,30.35
22.12.2020,30.30,30.30,30.30,30.30
21.12.2020,30.25,30.25,30.25,30.25
18.12.2020,30.10,30.10,30.10,30.10
17.12.2020,30.10,30.10,30.10,30.10
16.12.2020,30.10,30.10,30.10,30.10
15.12.2020,30.10,30.10,30.10,30.10
14.12.2020,30.00,30.00,30.00,30.00
11.12.2020,29.75,29.75,29.75,29.75
10.12.2020,29.75,29.75,29.75,29.75
09.12.2020,29.75,29.75,29.75,29.75
08.12.2020,29.75,29.75,29.75,29.75
07.12.2020,29.70,29.70,29.70,29.70
04.12.2020,29.60,29.60,29.60,29.60
03.12.2020,29.50,29.50,29.50,29.50
02.12.2020,29.55,29.55,29.55,29.55
01.12.2020,30.15,30.15,30.15,30.15
30.11.2020,29.15,29.15,29.15,29.15
27.11.2020,29.20,29.20,29.20,29.20
25.11.2020,29.15,29.15,29.15,29.15
24.11.2020,29.15,29.15,29.15,29.15
23.11.2020,29.30,29.30,29.30,29.30
20.11.2020,28.75,28.75,28.75,28.75
19.11.2020,28.95,28.95,28.95,28.95
18.11.2020,29.00,29.00,29.00,29.00
17.11.2020,29.00,29.00,29.00,29.00
16.11.2020,29.15,29.15,29.15,29.15
13.11.2020,29.15,29.15,29.15,29.15
12.11.2020,29.35,29.35,29.35,29.35
11.11.2020,29.45,29.45,29.45,29.45
10.11.2020,29.50,29.50,29.50,29.50
09.11.2020,29.50,29.50,29.50,29.50
06.11.2020,29.85,29.85,29.85,29.85
05.11.2020,29.65,29.65,29.65,29.65
04.11.2020,29.60,29.60,29.60,29.60
03.11.2020,29.55,29.55,29.55,29.55
02.11.2020,29.85,29.85,29.85,29.85
30.10.2020,29.40,29.40,29.40,29.40
29.10.2020,29.35,29.35,29.35,29.35
28.10.2020,29.40,29.40,29.40,29.40
27.10.2020,29.40,29.40,29.40,29.40
07.10.2020,29.80,29.80,29.80,29.80
06.10.2020,29.85,29.85,29.85,29.85
05.10.2020,29.85,32.35,32.35,32.35
02.10.2020,29.85,29.85,29.85,29.85
01.10.2020,29.90,29.90,29.90,29.90
30.09.2020,29.90,29.90,29.90,29.90
29.09.2020,29.90,29.90,29.90,29.90
31.08.2020,30.95,30.95,30.95,30.95
28.08.2020,30.60,30.60,30.60,30.60
27.08.2020,30.75,30.75,30.75,30.75
26.08.2020,30.80,30.80,30.80,30.80
25.08.2020,30.80,30.80,30.80,30.80
24.08.2020,30.85,30.85,30.85,30.85
21.08.2020,30.80,30.80,30.80,30.80
20.08.2020,31.05,31.05,31.05,31.05
19.08.2020,31.00,31.00,31.00,31.00
18.08.2020,31.20,31.20,31.20,31.20
17.08.2020,31.45,31.45,31.45,31.45
14.08.2020,31.60,31.60,31.60,31.60
13.08.2020,32.00,32.00,32.00,32.00
12.08.2020,32.10,32.10,32.10,32.10
11.08.2020,32.20,32.20,32.20,32.20
10.08.2020,32.25,32.25,32.25,32.25
07.08.2020,32.25,32.25,32.25,32.25
06.08.2020,32.25,32.25,32.25,32.25
05.08.2020,32.25,32.25,32.25,32.25
04.08.2020,32.30,32.30,32.30,32.30
03.08.2020,31.40,31.40,31.40,31.40
31.07.2020,31.35,31.35,31.35,31.35
30.07.2020,31.60,31.60,31.60,31.60
29.07.2020,31.70,31.70,31.70,31.70
28.07.2020,31.70,31.70,31.70,31.70
27.07.2020,31.90,31.90,31.90,31.90
24.07.2020,31.65,31.65,31.65,31.65
23.07.2020,31.65,31.65,31.65,31.65
22.07.2020,32.65,32.65,32.65,32.65
21.07.2020,32.60,32.60,32.60,32.60
20.07.2020,32.50,32.50,32.50,32.50
17.07.2020,32.50,32.50,32.50,32.50
16.07.2020,32.60,32.60,32.60,32.60
15.07.2020,32.70,32.70,32.70,32.70
14.07.2020,32.70,32.70,32.70,32.70
13.07.2020,32.80,32.80,32.80,32.80
10.07.2020,32.80,32.80,32.80,32.80
09.07.2020,33.00,33.00,33.00,33.00
08.07.2020,32.80,32.80,32.80,32.80
07.07.2020,32.75,32.75,32.75,32.75
06.07.2020,32.75,32.75,32.75,32.75
02.07.2020,32.65,32.65,32.65,32.65
01.07.2020,32.55,32.55,32.55,32.55
30.06.2020,32.55,32.55,32.55,32.55
29.06.2020,32.90,33.80,33.80,33.80
26.06.2020,32.85,32.85,32.85,32.85
25.06.2020,32.90,32.90,32.90,32.90
24.06.2020,32.85,32.85,32.85,32.85
23.06.2020,32.85,32.85,32.85,32.85
22.06.2020,32.85,32.85,32.85,32.85
19.06.2020,32.85,32.85,32.85,32.85
18.06.2020,33.05,33.05,33.05,33.05
17.06.2020,32.80,32.80,32.80,32.80
16.06.2020,33.00,33.00,33.00,33.00
15.06.2020,32.85,32.85,32.85,32.85
12.06.2020,33.05,33.05,33.05,33.05
11.06.2020,33.20,33.20,33.20,33.20
10.06.2020,33.20,33.20,33.20,33.20
09.06.2020,33.20,33.20,33.20,33.20
08.06.2020,33.05,33.05,33.05,33.05
05.06.2020,33.10,33.10,33.10,33.10
04.06.2020,33.20,33.20,33.20,33.20
03.06.2020,33.45,33.45,33.45,33.45
02.06.2020,33.50,33.50,33.50,33.50
01.06.2020,33.60,33.60,33.60,33.60
29.05.2020,34.05,34.05,34.05,34.05
28.05.2020,34.20,34.20,34.20,34.20
27.05.2020,34.05,34.05,34.05,34.05
26.05.2020,34.30,34.30,34.30,34.30
22.05.2020,34.10,35.05,35.05,35.05
21.05.2020,34.05,34.05,34.05,34.05
20.05.2020,33.90,33.90,33.90,33.90
19.05.2020,33.60,33.60,33.60,33.60
18.05.2020,33.55,33.55,33.55,33.55
15.05.2020,33.55,33.55,33.55,33.55
14.05.2020,33.45,33.45,33.45,33.45
13.05.2020,33.55,33.55,33.55,33.55
12.05.2020,33.70,33.70,33.70,33.70
11.05.2020,33.80,33.80,33.80,33.80
08.05.2020,33.90,33.90,33.90,33.90
07.05.2020,34.00,34.00,34.00,34.00
06.05.2020,34.15,34.15,34.15,34.15
05.05.2020,34.15,34.15,34.15,34.15
04.05.2020,34.15,34.15,34.15,34.15
01.05.2020,34.15,34.15,34.15,34.15
30.04.2020,33.50,33.50,33.50,33.50
29.04.2020,33.55,33.55,33.55,33.55
28.04.2020,33.40,33.40,33.40,33.40
27.04.2020,32.25,31.90,31.90,31.90
24.04.2020,32.10,32.10,32.10,32.10
23.04.2020,32.05,32.05,32.05,32.05
22.04.2020,31.90,31.90,31.90,31.90
21.04.2020,31.75,31.75,31.75,31.75
20.04.2020,31.75,31.75,31.75,31.75
17.04.2020,31.65,31.65,31.65,31.65
16.04.2020,32.35,29.00,32.10,29.00
15.04.2020,31.70,29.00,29.00,29.00
14.04.2020,30.95,30.95,30.95,30.95
13.04.2020,29.75,29.75,29.75,29.75
09.04.2020,29.55,29.55,29.55,29.55
08.04.2020,29.25,29.25,29.25,29.25
07.04.2020,28.95,28.95,28.95,28.95
06.04.2020,27.75,27.75,27.75,27.75
03.04.2020,27.75,26.70,26.70,26.70
02.04.2020,27.55,27.55,27.55,27.55
01.04.2020,27.45,27.45,27.45,27.45
31.03.2020,27.40,27.40,27.40,27.40
30.03.2020,27.20,27.20,27.20,27.20
27.03.2020,26.70,26.70,26.70,26.70
26.03.2020,26.35,26.35,26.35,26.35
25.03.2020,25.35,25.35,25.35,25.35
24.03.2020,25.35,25.35,25.35,25.35
23.03.2020,24.15,24.15,24.15,24.15
20.03.2020,24.00,24.00,24.00,24.00
19.03.2020,24.00,24.00,24.00,24.00
18.03.2020,24.00,24.00,24.00,24.00
17.03.2020,24.00,24.00,24.00,24.00
16.03.2020,23.90,23.90,23.90,23.90
13.03.2020,23.95,23.95,23.95,23.95
12.03.2020,24.10,24.10,24.10,24.10
11.03.2020,24.25,24.25,24.25,24.25
10.03.2020,24.20,24.20,24.20,24.20
09.03.2020,24.40,24.40,24.40,24.40
06.03.2020,24.35,24.35,24.35,24.35
05.03.2020,24.45,24.45,24.45,24.45
04.03.2020,24.60,24.60,24.60,24.60
03.03.2020,24.75,24.75,24.75,24.75
02.03.2020,24.75,24.75,24.75,24.75
28.02.2020,24.90,24.90,24.90,24.90
27.02.2020,24.85,24.85,24.85,24.85
26.02.2020,24.85,24.85,24.85,24.85
25.02.2020,24.85,24.85,24.85,24.85
24.02.2020,24.60,24.60,24.60,24.60
21.02.2020,24.55,24.55,24.55,24.55
20.02.2020,24.55,24.55,24.55,24.55
19.02.2020,24.60,24.60,24.60,24.60
18.02.2020,24.60,24.60,24.60,24.60
14.02.2020,24.55,24.55,24.55,24.55
13.02.2020,24.50,24.50,24.50,24.50
12.02.2020,24.50,24.50,24.50,24.50
11.02.2020,24.60,24.60,24.60,24.60
10.02.2020,24.60,24.60,24.60,24.60
07.02.2020,24.85,24.85,24.85,24.85
06.02.2020,24.85,24.85,24.85,24.85
05.02.2020,24.85,24.85,24.85,24.85
04.02.2020,24.85,24.85,24.85,24.85
03.02.2020,24.80,24.80,24.80,24.80
31.01.2020,24.80,24.80,24.80,24.80
30.01.2020,24.65,24.65,24.65,24.65
29.01.2020,24.50,24.50,24.50,24.50
28.01.2020,24.50,24.50,24.50,24.50
27.01.2020,24.40,24.40,24.40,24.40
24.01.2020,24.45,24.45,24.45,24.45
23.01.2020,24.45,24.45,24.45,24.45
22.01.2020,24.55,24.55,24.55,24.55
21.01.2020,24.55,24.85,24.85,24.85
17.01.2020,24.60,24.60,24.60,24.60
16.01.2020,24.55,24.55,24.55,24.55
15.01.2020,24.60,24.60,24.60,24.60
14.01.2020,24.60,24.60,24.60,24.60
13.01.2020,24.60,24.60,24.60,24.60
10.01.2020,24.60,24.60,24.60,24.60
09.01.2020,24.60,24.60,24.60,24.60
08.01.2020,24.65,24.65,24.65,24.65
07.01.2020,24.80,24.80,24.80,24.80
06.01.2020,25.00,25.00,25.00,25.00
03.01.2020,25.05,25.05,25.05,25.05
02.01.2020,25.05,25.05,25.05,25.05
31.12.2019,25.05,25.05,25.05,25.05
30.12.2019,24.90,24.90,24.90,24.90
27.12.2019,25.05,25.05,25.05,25.05
26.12.2019,25.05,25.05,25.05,25.05
24.12.2019,25.10,25.10,25.10,25.10
23.12.2019,25.05,25.05,25.05,25.05
20.12.2019,25.25,25.25,25.25,25.25
19.12.2019,25.45,25.45,25.45,25.45
18.12.2019,25.50,25.50,25.50,25.50
17.12.2019,25.45,25.45,25.45,25.45
16.12.2019,25.70,25.70,25.70,25.70
13.12.2019,25.70,25.70,25.70,25.70
12.12.2019,25.80,25.80,25.80,25.80
11.12.2019,26.05,26.05,26.05,26.05
10.12.2019,26.00,26.00,26.00,26.00
09.12.2019,26.00,26.00,26.00,26.00
06.12.2019,25.95,25.95,25.95,25.95
05.12.2019,25.95,25.95,25.95,25.95
04.12.2019,26.10,26.10,26.10,26.10
03.12.2019,26.10,26.10,26.10,26.10
02.12.2019,26.00,26.00,26.00,26.00
29.11.2019,26.15,26.15,26.15,26.15
27.11.2019,26.15,26.15,26.15,26.15
26.11.2019,26.10,26.10,26.10,26.10
25.11.2019,26.00,26.00,26.00,26.00
22.11.2019,26.00,26.00,26.00,26.00
21.11.2019,26.05,26.05,26.05,26.05
20.11.2019,26.00,26.00,26.00,26.00
19.11.2019,25.80,25.80,25.80,25.80
18.11.2019,25.40,25.40,25.40,25.40
15.11.2019,25.00,25.00,25.00,25.00
14.11.2019,25.00,25.00,25.00,25.00
13.11.2019,24.80,24.80,24.80,24.80
12.11.2019,24.65,24.65,24.65,24.65
11.11.2019,24.65,24.65,24.65,24.65
08.11.2019,24.70,24.70,24.70,24.70
07.11.2019,24.65,24.65,24.65,24.65
06.11.2019,24.45,24.45,24.45,24.45
05.11.2019,24.25,24.25,24.25,24.25
04.11.2019,24.15,24.15,24.15,24.15
01.11.2019,24.10,24.10,24.10,24.10
31.10.2019,23.90,23.90,23.90,23.90
30.10.2019,24.00,24.00,24.00,24.00
29.10.2019,23.95,23.95,23.95,23.95
28.10.2019,24.05,24.05,24.05,24.05
25.10.2019,24.20,24.20,24.20,24.20
24.10.2019,24.40,24.40,24.40,24.40
23.10.2019,24.40,24.40,24.40,24.40
22.10.2019,24.60,24.60,24.60,24.60
21.10.2019,24.75,24.75,24.75,24.75
18.10.2019,24.90,24.90,24.90,24.90
17.10.2019,24.95,24.95,24.95,24.95
16.10.2019,24.90,24.90,24.90,24.90
